id;sentimet;ulasan
1;positive;"Beberapa kali sudah mengunjungi puncak Gunung Dempo. Setiap perjalanan memiliki cerita. Terakhir 22 sampai 25 April 2023 bersama orang orang tangguh, termasuk anak ku yang masih berumur 7 tahun."
2;positive; Gn Dempo via Kampung IV memiliki jalur yang extrim. Selalu menanjak jalan tikus dan lain lain. Semua itu menguras tenaga Sampai jumpa lagi puncak Dempo."
3;positive;"Trek pendakian untuk sampai ke puncak dan pelataran dominan tanah lembap,dan akar pohon yg sedikit licin di beberapa titik. Sumber mata air melimpah, pendaki tidak perlu membawa air terlalu banyak"
4;positive;"Sesuai dengan namanya, Kota Pagaralam dikelilingi oleh pegunungan Bukit Barisan dan yang tertinggi adalah Gunung Dempo."
5;positive;Untuk mencapai lokasi  dari terminal Pagar Alam terlebih dulu mencarter mobil/taksi jurusan Pabrik Teh PTPN VII Persero yang jaraknya mencapai 8 km dari terminal. 
6;positive;Pada hari-hari biasa di Gunung Dempo dapat ditemui banyak orang yang sengaja naik ke puncak utuk mencari kayu atau sekadar berhiking. Adapun wisatawan yang sengaja menyambangi pintu pendakian dengan hanya untuk berwisata di lerang gunung Dempo.
7;positive;Meski gunung ini cukup tinggi terdapat air jernih yang dapat ditemui sampai setengah perjalanan  sehingga para pendaki tidak perlu khawatir kehabisan air minum selama  yaitu?hutan montana. Jalan setapak penuh dengan akar-akar yang melintang perjalanan. 
8;positive;Empat atau lima jam perjalanan pendaki akan memasuki daerah dengan?vegetasi?tumbuhanberpohon rendah dan semakin rendah beberapa daerah agak terbuka pandangan pun menjadi luas. Gunung Dempo memiliki dua puncak yang satunya bernama Puncak Api.
9;positive;Pendakian kepuncak utama tidak terlalu sulit. Lerengnya terdiri dari kerikil dan batu-batu dengan kemiringan lereng sekitar 40?  cukup stabil untuk didaki. Puncak utama gunung Dempo (3159 m)  merupakan kawah gunung berapi yang masih bergejolak dengan diameter sekitar seratus meter persegi. 
10;positive;Gunung yang sangat indah dan banyak cerita yang terjadi ketika pendakian tanggal 17 agustus 2020 mungkin ada kawan2 sependakian yang melakukan pendakian di tanggal itu masih mengingat mendaki sampai 15 jam an lebih tepat nya ??
11;positive;"Mantap Djiwa.  ????track track yang sangat menantang, terjal, berbatu.jalur pendakian yang sangat menantang. Recoment buat kalian yang mau nanjak. Ketinggian top dempo di 3159mdpl.keren. Pesona dempo3159mdpl????"
12;positive;Untuk lebih jelasnya pendakian gunung dempo tonton vlog nya di channel youtube "okky chayen" Semoga bermanfaat dan menambah informasi supaya tidak tersesat.salam hangat dari saya
13;positive;"Pemandangan alam yg luar biasa indahnya, dengan latar gunung dempo dihiasi hamparan kebun teh"
14;positive;"Sungguh luar biasa pengalaman di gunung dempo ini, ga bakalan menyesal naik gunung dempo.."
15;positive;Alhamdulillah diberi kesempatan mendaki puncak Dempo lewat jalur Rimau tahun 2018
16;positive;Cara Mencapai Puncak
17;positive;Daerah terdekat untuk mencapai puncak G. Dempo yang masih bisa dilalui kendaraan adalah daerah perkebunan teh Dempo  terletak di lereng Timur pada ketinggian lk.1665m dpl. Untuk mencapai puncak kawah dari perkampungan terakhir diperlukan waktu 5 - 7 jam. 
18;positive;Potensi wisata yang terdapat di sekitar G. Dempo terdiri dari wisata alam dan wisata Cagar budaya. 
19;positive;"Jalur pendakian dari kampung 4 lanjut ke medan yg luar biasa terjal, mulai dari tanah berakar sampai cadas, tetapi merapi nya sangat indah"
20;positive;"Trek tanjakan tiada ampun, apalagi lewat tugu rimau. Kalau beruntung anda akan melihat air kawah yg berwarna hijau"
21;positive;Gunung yang tinggi nan indah di Sumatera Selatan. Pemandangan kebun teh dan udara yang sejuk membuat objek wisata ini sangat nyaman untuk liburan ataupun pendakian.
22;positive;Pengen main kesini karena sejuk alam nya
23;positive;"Pendakian pertama kali Gunung Dempo melalui track Tugu Rimau cukup melelahkan, tetapi ketika mendaki bersama teman-teman perjalanan selama 7 jam yang dirasa saat malam dan hujan yang lebat tidak menyurutkan semangat kami untuk mendaki gunung yang indah di Pagaralam ini."
24;positive;Indah banget pemandanganya  gaes
25;positive;Sebelum berangkat saya banyak pikiran hati saya kesel tapi setela saya  sampai ke puncak Gunung Dempo Waw langsung hilang seketika gaes pikiran dan hati yg kesel tadi gaes kek apa ya ahh susah nyelasin nya gaes pokok nya kalo kawan-kawan udh sampai ke puncak happy pokok nya
26;positive;"mendaki gunung Dempo yang treknya dikenal lumayan berat, bahkan ada yang menyebut lebih berat dibandingkan trek gunung Kerinci."
27;positive;Wisata alam dgn keindahan yg masih terjaga kelestariannya
28;positive;Destinasi wisata pilihan yg recomended
29;positive;Dijamin puas jika sudah sampai...
30;positive;Inih nih rekomendasi Gunung di sumsel Trek nya mantap bener dan disuguhin pemandangan yang ga ada di tempat lain
31;positive;"Subahanallah...Pemandangan Kebun Teh yg luar biasa, dari Puncak Gunung Dempo Pagar Alam-Sumsel."
32;positive;"Indah sekali pemandangan Gunung Dempo, baik dari Kota Pagaralam di bawah, maupun dari Tugu Rimau di atas. Buat para pendaki gunung layak untuk didaki, cuma saat ini masih dalam Status Waspada dan ada gas beracunnya, jadi masih belum bisa didaki...."
33;positive;"Nuansa alam yg masih alami, udara yg masih segar sejuk. Enak buat ngilangin unek2 dalam hati. Cukup bertatap Dgn alam2 yg indah, maha karya sang pencipta. Bakal timbul perasaan yg tidak bisa kita ceritakan"
34;positive;Kreeen. Luas mantap dingin..mantap untuk liburan... Ajak keluarga bahkan pasangan... Apalagi yg haus refresing dari penat hiruk pikuk aktifitas perkotaan... Disini tempatnya.. Penginapan sekaligus aura yang dingin... Enak untuk semua muanya... 
35;positive;"Saya pernah mendaki di sini sekitar tahun 2012 keren bro, wisata gunung tertinggi yg berada di Sumatera Selatan..??????"
36;positive;"Bagi yg suka mendaki gunung,recomend deh sama gunung dempo track nya keren, pemandangan nya bagus banged"
37;positive;"Salah satu tempat wisata di sumsel, cocok bagi yg suka menitmati alam yg asri, perkebunan teh yang luas, banyak air air terjun dikawasan ini, ada juga tempat rekreasi seperti taman, kolam renang, dll."
38;positive;"Indah banget,, sayang pas di puncak banyak kabut,, merasa senang dan nyaman ad di kebun teh pagar alam...??"
39;positive;Selalu teringat trek nya ..bakal kembali lagi suatu hari nanti??
40;positive;Kerenn ?? pagar alam sejuk
41;positive;Tempat yg sangat sejuk adalah di atas gunung
42;positive;"Teristimewah berkesan, sekali coba nagih maunya naik lagi ??"
43;positive;Gunung tertinggi disumsel yg berada dipagaralam.tinggi menjulang indah ramai pendaki semoga tetap terjga kelestariannya
44;positive;Pemandangannya indaahhh .. DINGIN...
45;positive;"Sejuk, gunung dempo merupakan gunung berapi tertinggi di sumatera selatan, untuk mendaki puncak dempo, bisa dilakukan lewat 2 jalur, sebelum melakukan pendakian"
46;positive;"Keren, rasa gak mau pulang ..."
47;positive;Cocok kalo saya ke pagar alam tapi enak ke pangkal pinang ke pelabuhan tanjung api api 2 jam menungu kapal 2 jam ke peyebagan muntok 4 jam ke pangkal pinang 3 jaman kalo ke pagar alam 9_10  jam tapi masih di sumatera selatan  tapi di keliligin gunung makan nambah dingin dan segar
48;positive;"Gunung Dempo adalah sebuah gunung yang mempunyai ketinggian hingga 3,195 meter, dan memiliki kawasan hutan Dipterokarp Bukit hutan Montane serta Hutan Ericaceous atau yang disebut hutan gunung. "
49;positive;"Tempat orang touring dan memanjat tebing, tempat penginapannya juga pas banget di gunung gare ada villa ny juga, tempat yang tepat untuk berlibur mengajak keluarga. Letaknya di provinsi sumatera selatan arah muara enim lahat."
50;positive;Udara&amp
51;positive;Ga nyesel datang kesini
52;positive;"Subhanallah,indah sekali allah menciptakan ciptaanya,pagar kota para jenderal,kota nan sejuk,penduduknya ramah,alam nya masih asri,cocok buat wisata keluarga,yg paling penting sekarang sudah ada pesawat dari palembang ke pagar alam pulang pergi satu kali sehari."
53;positive;"Gunung Dempo tempatnya di daerah pagar alam Sumatra Selatan.. Penuh view pemandangan kebun teh., air terjun dan kawah."
54;positive;"Gunung dempo merupakan puncak tertinggi di sumatra selatan dengan ketinggian 3159 mdpl. Kawasan wisata dempo, pagar alam menawarkan panorama pemandangan yang indah. Hamparan ladang petani dan hijaunya kebun teh "
55;positive;Bagi anda yg menyukai alam pegunungan anda dapat berkunjung bersama teman2 dan rekan sejawat untuk menikmati tinggi nya gunung Dempo...
56;positive;"Gunung Dempo terletak di perbatasan provinsi Sumatra Selatan dan provinsi Bengkulu tepatnya di kota dingin penghasil kopi robusta yaitu Kota Pagaralam. Gunung Dempo terletak di kota Pagaralam, dengan jarak tempuh darat sekitar 7 jam dari Palembang, ibu kota provinsi Sumatra Selatan."
57;positive;Tempat berwisata keluarga yg patut untuk di kunjungi. Dengan hamparan hijau nya perkebunan teh.gunung dempo yg menjulang tinggi udara yg segar. Siap memanjakan anda yg berkunjung.
58;positive;"Udaranya sangat dinging, dan pemandangan nya pun indah ada dedaunan teh yang sangat banyak, pokok nya seru deh pengalaman pertama kali ke gunung dempo /pagar alam ?? I??PAGAR ALAM ????"
59;positive;"Sejuk dan menenangkan.., untuk liburan sangat cocok n menenangkan ditambah lagi penduduk di sekitar kebun tehnya ramah2...terasa damai."
60;positive;Enak banget udaranya sejuk cocok banget kalo liburan ke sini pagi pagi bisa liat matahari terbit dengan hamparan kebun teh yang luas
61;positive;Pagaralam Kota Kecil Sejuta Cerita
62;positive;Tempat yang mantap untuk mendaki gunung...
63;positive;"Kebun teh yg luar biasa , seluruh kota pagaralam terlihat dari sini , walaupun nggk sampai puncak tapi pemandangannya luar biasa ????"
64;positive;"Gunung Dempo dan perkebunan teh, tempat wisata alam kota pagaralam Sumsel yang indah dan sejuk"
65;positive;Pemandangan yg sangat bagus.
66;positive;Ini perjalanan ku pada tahun 1997 silam.. Banyak kenangan d sini.. Tpi sekarang gn dempo sdah mnjadi tmpat nya sampah para pendaki.. Yuk.. Jdi la penikmat Alam yg bijak.. Bawa kembali lg turun sampah mu... Karena gunung menyimpan sumber kehidupan..
67;positive;Luar biasa
68;positive;"Gunung tertinggi di Sumatera Selatan, 3159 MDPL."
69;positive;Tempatnya indah akses jalanya baik tapi ada beberapa lobang
70;positive;"Trek sangat menantang, butuh 8 jam mendaki dr Tugu Rimau sampai puncak..."
71;positive;Kenang?an Msih pacaran...
72;positive;Adem??
73;positive;"Keindahan Alam dengan ketinggian 3000mdpl, dengan kawah aktif yg banyak warna"
74;positive;info dong ada tmpat penginapan yg dkat gunung kah
75;positive;tanya dong gan apakah gunung Dempo awal bulan April nanti bukak dan bisa di naiki
76;positive;Kesejukan alam yg masih sangat alami
77;positive;ajib neeh tempat walau jauh
78;positive;Salah satu gunung berapi aktif di sumatra
79;positive;Gunung tertinggi sumatra selatan
80;positive;Pengen kesini. Klau dari kota pagar alam naik mbil brpa jauh y kepuncak dempo? Rusak gk jalan ny
81;positive;Sekarang sudah enak bisa keatas naik mobil dan pemandangan yang indah dan udara yang sejuk
82;positive;Sangat memuaskan pendakian yang tak terlupakan
83;positive;Edaaan nanjak terus
84;positive;"Wisata alam pegunungan yang sangat elok, dan luar biasa, tak pernah membosankan, MasyaAllah"
85;positive;Luar biasa.
86;positive;Menakjubkan pemandangan yang sangat indah
87;positive;Sangat indah sekali pokok nya
88;positive;"Saya pertama kali naik Dempo, wah asik bener, rasa nya lain dengan gunung gunung lainnya."
89;positive;Alhamdulillah di beri kesempatan mendaki gunung dempo
90;positive;Pelaman pertama melakukan aktifitas outdoor
91;positive;"Indahnya luar biasa, sejuuk"
92;positive;banyak tangan2 tak bertanggung jawab buang sampang di sepanjang jalan menuju kesana. ckckck
93;positive;Keadaan gunung tempo yang sangat sejuk membuat hati menjadi senang
94;positive;Sangat indah pemandangannya
95;positive;"Hi Ndari naik ke,...bila belum ada  isin,"
96;positive;Gunungnya bagus banget
97;negative;"Tempat yg sejuk, tenang dan menakjubkan"
98;positive;Gunung demponya bagus.Apa lagi di tugu rimau pokoknya gak nyesel kalau tidak pergi kesana
99;positive;Tanjakan dan tikungan mesrah
100;positive;PagarAlam kota kecil sejuta cerita
101;positive;"Kapok,, pegel badan betis??"
102;positive;Tempat ini bagus ya di tambah lagi dengan Istri
103;positive;sangat memukau. ayo para penggiat alam jng kotori dempo
104;positive;Kepingin sekali mendaki sampai ke puncaknya
105;positive;Sejuk. ??
106;positive;Sejuk dan damai
107;positive;Pecinye ujan lemak gi ape
108;positive;Tempat melihat pemandangan yang sangat indah
109;positive;Untung msh ada ini
110;positive;trek nya mnantang mntep dehh gk nyesel
111;positive;Di gunung dempo ada air nya
112;positive;Lokasi yg bagus untung camping ground
113;positive;Tempat kebanggaan para pencinta alam. Lestari
114;positive;Pemandangan kebun teh nya sangan indah
115;positive;Seru karena bisa naik ATP dan ada delman ????
116;positive;Inti nya kalau sudah turun pingin kembali lagi
117;positive;Gunung Dempo yg exotic
118;positive;Kuliah Lapangan pertama bioers 2014 FMIPA Unsri
119;positive;"Sejuk,enak buat refreshing your mind"
120;positive;Karna udara yg segar dan pemandangan yg indah
121;positive;Sangat indah dengan hamparan kebun teh
122;positive;Sunggu indah untuk dipandang sungguh cantik untuk dilihat......
123;positive;Tempat berwisata yang indah untk rafting
124;positive;Bagus untuk yg suka mendaki
125;positive;Sala satu ciptaan Allah Swt yang paling Indah
126;positive;Haha belum kesampean pengen ndaki Dempo ???
127;positive;Pengen Muncak lgi wkwk
128;positive;Luar biasa
129;positive;Menggapai puncak sanganlah mengasikan
130;positive;Lutfhi hajhim mana. Jakarta gawe ulin makan
131;positive;Dapat dikujungi utuk wisatanya.
132;positive;Senangnya menghirup udarah yang sejuk
133;positive;"Mantap,  seruuu"
134;positive;Indah banget ni gunung dempo alami
135;positive;Sangat bagus
136;positive;Tempat liburan paling asik di sumsel
137;positive;Amazinggh broo
138;positive;Mantab abis keindahannya
139;positive;"Bagus,bersih rapi dan cantik sejuk"
140;positive;Asri tempat yg indah bebas polosi
141;positive;Keindahan  alam Pagaralam
142;positive;Petani
143;positive;"Gunung Dempo, Gunungnya Pagaralam... :-)"
144;positive;Bibik mu ad sano
145;positive;Mantp kli
146;positive;View yg cakep nian
147;positive;"Daerah kebun teh,sejuk.."
148;positive;Wisata alam murni gunung dempo
149;positive;Air terjun lematang &amp
150;positive;Gunung yang sangat indah
151;positive;Kawah nya mantap untuk mandi
152;positive;Tempat wisata yang bagus ??
153;positive;track n view yg fantastis
154;positive;Pemandangan di atas gunung dempo
155;positive;"Seger udaranya, enak kopinya"
156;positive;"Bumi Besemah top, Salam jeme kite"
157;positive;Begitu dingin dimalam hari
158;positive;Pemandangan yang indah dan mempesona
159;positive;Tanah kelahiranku @pagaralambeautyofsouthsumatera
160;positive;Sangat keren
161;positive;Surga ini benar benar ada
162;positive;Begitu indah alam d sanah
163;positive;Tapi banyak harimau ngamuk
164;positive;Kota indah dn sejuk..
165;positive;Baik
166;positive;Tempat nya sangakt indah
167;positive;Keren
168;positive;Aku suka
169;positive;Sejuk sekaliiiii
170;positive;MasyaaAllah
171;positive;Indah banget Dempo
172;positive;Mantap broooooo
173;positive;Desa gua cok :v
174;positive;Indah
175;positive;Gunung pertama aku daki
176;positive;Awasome g. Dempo
177;positive;Bagus tempatnya
178;positive;Mantullll
179;positive;Sejuk
180;positive;Tamasya bersama keluarga
181;positive;Cocok untuk liburan
182;positive;Mantap betul
183;positive;Enjoy at Pagaralam
184;positive;bakalan kesini... Cooming soon
185;positive;??
186;positive;Sangat indah
187;positive;Pengen kesini
188;positive;Ekstrim gaes
189;positive;belom pernah kesini
190;positive;Wisata alam Sumatera Selatan
191;positive;Dinginn kalii
192;positive;Wow ??????
193;positive;"Bagus , bersih dan nyaman ,"
194;positive;kangen terus ke pagaralam
195;positive;Suka ini
196;positive;Tempat nya indah
197;positive;Kangenn..
198;positive;Pengen kesini lagi
199;positive;Sangat bagusss
200;positive;Bagus bngt
201;positive;Keren
202;positive;Ini adalah kota ku
203;positive;indah banget
204;positive;Keren
205;positive;Keren banget
206;positive;Takjub
207;positive;Mantep
208;positive;Asyik
209;positive;Indah
210;positive;Hijau
211;positive;Sejuk
212;positive;Mantap
213;positive;Tanah kelahiranku
214;positive;Enak
215;positive;Tempat yang indah
216;positive;Sip
217;positive;Emejiiinnnnngggggggg
218;positive;Keren...
219;positive;Gunung dempo
220;positive;Sip
221;positive;Keren
222;positive;Keren
223;positive;"(Diterjemahkan oleh Google) Dari kunjungan pertama saja. Sampai sekarang dengan istrinya. Kota Pagaralam dengan Gunung Dempo, selalu memiliki tempat tersendiri di hati kita."
224;positive;(Diterjemahkan oleh Google) baru saja kembali dari mendaki Gunung Dempo (3159 MDPL) di Sumatera Selatan. Ini adalah pengalaman pertama saya mendaki gunung di Indonesia. Treknya cukup sulit.
225;positive;(Diterjemahkan oleh Google) tempat yang tepat untuk penyembuhan dan suasananya sangat sejuk
226;positive;(Diterjemahkan oleh Google) Keindahan alam merupakan sumber ketenangan dan kesejukan jiwa
227;positive;"(Diterjemahkan oleh Google) perjuangan keras, manjur untuk sampai ke puncak dengan selalu berdoa berjamaah dan merenungi alam.. lokasi kebun teh membuat perjalanan semakin menyenangkan"
228;positive;(Diterjemahkan oleh Google) Berada di alam dengan tanaman hijau yang menghangatkan hati Anda
229;positive;(Diterjemahkan oleh Google) Sialan Dingin Di Sini. Tapi Masih Layak
230;positive;"(Diterjemahkan oleh Google) Kalau dari kota Lampung, kira-kira wahana apa yang paling bagus?"
231;positive;(Diterjemahkan oleh Google) Banyak kenangan dari tempat cantik ini!
232;positive;"(Diterjemahkan oleh Google) Meski mendung, pemandangannya tetap joss"
233;positive;
234;positive;(Diterjemahkan oleh Google) Tempat yang bagus dan keren
235;positive;Di lobok
236;positive;(Diterjemahkan oleh Google) tempat yang keren
237;positive;
238;positive;"(Diterjemahkan oleh Google) Panorama yang bagus, alam yang indah, tempat yang luar biasa"
239;positive;"(Diterjemahkan oleh Google) sangat indah, seru cocok untuk bersantai"
240;positive;
241;positive;(Diterjemahkan oleh Google) Cantik dan keren
242;positive;
243;positive;(Diterjemahkan oleh Google) pemandangan gunung yang bagus
244;positive;
245;positive;(Diterjemahkan oleh Google) Sangat keren
246;positive;
247;positive;
248;positive;(Diterjemahkan oleh Google) Dingin
249;positive;(Diterjemahkan oleh Google) Kisah dempo
250;positive;Brautiful
251;positive;(Diterjemahkan oleh Google) Oke
252;positive;(Diterjemahkan oleh Google) Terbaik
253;positive;(Diterjemahkan oleh Google) Menyukai
254;positive;
255;positive;(Diterjemahkan oleh Google) Allahu akbar
256;positive;
257;positive;
258;positive;
259;positive;
260;positive;
261;positive;
262;positive;
263;positive;
264;positive;
265;positive;
266;positive;
267;negative;
268;positive;
269;positive;
270;positive;
271;positive;
272;positive;
273;positive;
274;positive;
275;positive;
276;positive;
277;negative;
278;positive;
279;negative;
280;positive;
281;negative;
282;negative;
283;negative;
284;negative;
285;positive;
286;negative;
287;positive;
288;positive;
289;positive;
290;positive;
291;positive;
292;positive;
293;positive;
294;negative;
295;positive;
296;negative;
297;positive;
298;positive;
299;positive;
300;positive;
301;positive;
302;positive;
303;positive;
304;positive;
305;positive;
306;positive;
307;positive;
308;positive;
309;positive;
310;positive;
311;positive;
312;positive;
313;negative;
314;positive;
315;positive;
316;positive;
317;positive;
318;positive;
319;positive;
320;positive;
321;positive;
322;positive;
323;positive;
324;positive;
325;positive;
326;positive;
327;positive;
328;positive;
329;positive;
330;positive;
331;negative;
332;positive;(Diterjemahkan oleh Google) Oke
333;positive;(Diterjemahkan oleh Google) Tempat yang bagus
334;positive;
335;positive;
336;positive;
337;positive;
338;positive;
339;positive;
340;positive;
341;negative;
342;positive;
343;negative;
344;positive;
345;positive;
346;positive;
347;negative;
348;positive;
349;positive;
350;positive;
351;positive;
352;positive;
353;positive;
354;negative;
355;positive;
356;positive;
357;positive;
358;positive;
359;positive;
360;negative;
361;positive;
362;positive;
363;positive;
364;positive;
365;positive;
366;positive;
367;negative;
368;positive;
369;positive;
370;positive;
371;positive;
372;positive;
373;negative;
374;positive;
375;positive;
376;positive;
377;positive;
378;positive;
379;negative;
380;positive;
381;positive;
382;positive;
383;negative;
384;positive;
385;positive;
386;positive;
387;positive;
388;positive;
389;positive;
390;positive;
391;positive;
392;positive;
393;positive;
394;positive;
395;positive;
396;positive;
397;negative;
398;positive;
399;positive;
400;positive;
401;positive;
402;positive;
403;positive;
404;positive;
405;positive;
406;positive;
407;positive;
408;positive;
409;positive;
410;positive;
411;positive;
412;negative;
413;positive;
414;positive;
415;positive;
416;positive;
417;positive;
418;negative;
419;positive;
420;positive;
421;positive;
422;positive;
423;positive;
424;positive;
425;positive;
426;positive;
427;positive;
428;positive;
429;positive;
430;positive;
431;negative;
432;positive;
433;positive;
434;positive;
435;positive;
436;negative;
437;positive;
438;positive;
439;positive;
440;positive;
441;positive;
442;negative;
443;positive;
444;positive;
445;negative;
446;positive;
447;positive;
448;positive;
449;positive;
450;positive;
451;positive;
452;positive;
453;positive;
454;positive;
455;positive;
456;negative;
457;positive;
458;positive;
459;negative;
460;positive;
461;positive;
462;positive;
463;positive;
464;positive;
465;negative;
466;positive;
467;positive;
468;positive;
469;positive;
470;positive;
471;negative;
472;positive;
473;positive;
474;positive;
475;positive;
476;positive;
477;negative;
478;negative;
479;positive;
480;negative;
481;positive;
482;positive;
483;positive;
484;negative;
485;positive;
486;positive;
487;positive;
488;negative;
489;positive;
490;positive;
491;positive;
492;positive;
493;positive;
494;positive;
495;positive;
496;positive;
497;positive;
498;positive;
499;positive;
500;negative;
501;positive;
502;positive;
503;positive;
504;positive;
505;positive;
506;positive;
507;positive;
508;positive;
509;negative;
510;positive;
511;negative;
512;positive;
513;positive;
514;negative;
515;positive;
516;positive;
517;positive;
518;positive;
519;positive;
520;positive;
521;positive;
